@relation fact_checker

@attribute name_feature string
@attribute avg_page_rank_confirming numeric
@attribute avg_page_rank_non_confirming numeric
@attribute total_hit_count numeric
@attribute avg_topic_coverage_confirming numeric
@attribute avg_topic_coverage_non_confirming numeric
@attribute avg_topic_majority_web_confirming numeric
@attribute avg_topic_majority_web_non_confirming numeric
@attribute avg_topic_majority_search_confirming numeric
@attribute avg_topic_majority_search_non_confirming numeric
@attribute number_of_confirming_facts numeric
@attribute number_of_confirming_sites numeric
@attribute number_of_possibly_confirming_facts numeric
@attribute number_of_possibly_confirming_sites numeric
@attribute max_number_of_possible_confirming_fact numeric
@attribute total_evidence_score numeric
@attribute class {true,false}

@data
death_place_5.ttl,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,false
language_7.ttl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
award_8.ttl,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,false
musical_band_9.ttl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
ground_5.ttl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
death_place_1.ttl,0,0,24,0,0,0,11,0,0,0,0,0,0,0,0,false
branch_8.ttl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
current_member_2.ttl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
class_9.ttl,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,false
starring_5.ttl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
kingdom_7.ttl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
writer_3.ttl,0,0,762,0,0.36087,0,592,0,2.521739,0,0,0,0,0,0,false
award_2.ttl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
location_1.ttl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
residence_5.ttl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
commander_5.ttl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
successor_7.ttl,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,false
product_1.ttl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
former_team_0.ttl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
state_4.ttl,0,0,247047,0,0,0,2,0,0,0,0,0,0,0,0,false
subsequent_work_6.ttl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
recorded_in_9.ttl,0,0,692,0,0,0,2,0,0,0,0,0,0,0,0,false
home_town_0.ttl,0,0,36192,0,0,0,36191,0,0,0,0,0,0,0,0,false
associated_band_4.ttl,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,false
format_6.ttl,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,false
region_3.ttl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
kingdom_9.ttl,0,0,73,0,0,0,48,0,0,0,0,0,0,0,0,false
death_place_4.ttl,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,false
format_5.ttl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
division_4.ttl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
current_member_6.ttl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
phylum_6.ttl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
party_6.ttl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
genus_5.ttl,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,false
